drug,atc
chlorhexidine,A01AB03
miconazole,A01AB09
metronidazole,A01AB17
doxycycline,A01AB22
minocycline,A01AB23
cimetidine,A02BA01
ranitidine,A02BA02
famotidine,A02BA03
nizatidine,A02BA04
clopidogrel,B01AC04
dipyridamole,B01AC07
iloprost,B01AC11
tirofiban,B01AC17
treprostinil,B01AC21
prasugrel,B01AC22
cilostazol,B01AC23
ticagrelor,B01AC24
vorapaxar,B01AC26
quinidine,C01BA01
disopyramide,C01BA03
propafenone,C01BC03
flecainide,C01BC04
amiodarone,C01BD01
dofetilide,C01BD04
ibutilide,C01BD05
dronedarone,C01BD07
hydrochlorothiazide,C03AA03
metolazone,C03BA08
indapamide,C03BA11
furosemide,C03CA01
bumetanide,C03CA02
torasemide,C03CA04
simvastatin,C10AA01
lovastatin,C10AA02
pravastatin,C10AA03
fluvastatin,C10AA04
atorvastatin,C10AA05
cerivastatin,C10AA06
rosuvastatin,C10AA07
pitavastatin,C10AA08
doxycycline,J01AA02
lymecycline,J01AA04
minocycline,J01AA08
tigecycline,J01AA12
ampicillin,J01CA01
pivampicillin,J01CA02
carbenicillin,J01CA03
amoxicillin,J01CA04
carindacillin,J01CA05
bacampicillin,J01CA06
pivmecillinam,J01CA08
azlocillin,J01CA09
mezlocillin,J01CA10
piperacillin,J01CA12
ticarcillin,J01CA13
hetacillin,J01CA18
benzylpenicillin,J01CE01
azidocillin,J01CE04
dicloxacillin,J01CF01
cloxacillin,J01CF02
meticillin,J01CF03
oxacillin,J01CF04
flucloxacillin,J01CF05
nafcillin,J01CF06
cefalotin,J01DB03
cefazolin,J01DB04
cefadroxil,J01DB05
cefapirin,J01DB08
cefradine,J01DB09
cefacetrile,J01DB10
cefroxadine,J01DB11
cefoxitin,J01DC01
cefuroxime,J01DC02
cefamandole,J01DC03
cefaclor,J01DC04
cefotetan,J01DC05
cefonicid,J01DC06
cefotiam,J01DC07
loracarbef,J01DC08
cefmetazole,J01DC09
cefprozil,J01DC10
ceforanide,J01DC11
cefotaxime,J01DD01
ceftazidime,J01DD02
ceftriaxone,J01DD04
cefmenoxime,J01DD05
latamoxef,J01DD06
ceftizoxime,J01DD07
cefixime,J01DD08
cefpiramide,J01DD11
cefoperazone,J01DD12
cefpodoxime,J01DD13
ceftibuten,J01DD14
cefdinir,J01DD15
cefditoren,J01DD16
cefepime,J01DE01
aztreonam,J01DF01
meropenem,J01DH02
ertapenem,J01DH03
doripenem,J01DH04
trimethoprim,J01EA01
clarithromycin,J01FA09
azithromycin,J01FA10
telithromycin,J01FA15
clindamycin,J01FF01
streptomycin,J01GA01
tobramycin,J01GB01
ofloxacin,J01MA01
ciprofloxacin,J01MA02
norfloxacin,J01MA06
lomefloxacin,J01MA07
levofloxacin,J01MA12
trovafloxacin,J01MA13
moxifloxacin,J01MA14
gemifloxacin,J01MA15
gatifloxacin,J01MA16
vancomycin,J01XA01
teicoplanin,J01XA02
metronidazole,J01XD01
tinidazole,J01XD02
nitrofurantoin,J01XE01
fosfomycin,J01XX01
linezolid,J01XX08
daptomycin,J01XX09
miconazole,J02AB01
ketoconazole,J02AB02
fluconazole,J02AC01
itraconazole,J02AC02
voriconazole,J02AC03
posaconazole,J02AC04
anidulafungin,J02AX06
rifabutin,J04AB04
pyrazinamide,J04AK01
ethambutol,J04AK02
dapsone,J04BA02
ganciclovir,J05AB06
famciclovir,J05AB09
cidofovir,J05AB12
penciclovir,J05AB13
valganciclovir,J05AB14
rimantadine,J05AC02
foscarnet,J05AD01
saquinavir,J05AE01
indinavir,J05AE02
ritonavir,J05AE03
nelfinavir,J05AE04
amprenavir,J05AE05
fosamprenavir,J05AE07
atazanavir,J05AE08
tipranavir,J05AE09
darunavir,J05AE10
zidovudine,J05AF01
didanosine,J05AF02
stavudine,J05AF04
lamivudine,J05AF05
abacavir,J05AF06
emtricitabine,J05AF09
entecavir,J05AF10
nevirapine,J05AG01
delavirdine,J05AG02
efavirenz,J05AG03
etravirine,J05AG04
rilpivirine,J05AG05
zanamivir,J05AH01
oseltamivir,J05AH02
raltegravir,J05AJ01
elvitegravir,J05AJ02
dolutegravir,J05AJ03
ribavirin,J05AP01
boceprevir,J05AP03
sofosbuvir,J05AP08
maraviroc,J05AX09
cyclophosphamide,L01AA01
chlorambucil,L01AA02
melphalan,L01AA03
ifosfamide,L01AA06
busulfan,L01AB01
thiotepa,L01AC01
fotemustine,L01AD05
temozolomide,L01AX03
dacarbazine,L01AX04
methotrexate,L01BA01
raltitrexed,L01BA03
pemetrexed,L01BA04
pralatrexate,L01BA05
cladribine,L01BB04
fludarabine,L01BB05
clofarabine,L01BB06
nelarabine,L01BB07
cytarabine,L01BC01
fluorouracil,L01BC02
gemcitabine,L01BC05
capecitabine,L01BC06
vincristine,L01CA02
vinorelbine,L01CA04
vinflunine,L01CA05
etoposide,L01CB01
teniposide,L01CB02
paclitaxel,L01CD01
docetaxel,L01CD02
cabazitaxel,L01CD04
topotecan,L01CE01
irinotecan,L01CE02
trabectedin,L01CX01
doxorubicin,L01DB01
idarubicin,L01DB06
mitoxantrone,L01DB07
bleomycin,L01DC01
mitomycin,L01DC03
ixabepilone,L01DC04
imatinib,L01EA01
dasatinib,L01EA02
nilotinib,L01EA03
bosutinib,L01EA04
ponatinib,L01EA05
gefitinib,L01EB01
erlotinib,L01EB02
afatinib,L01EB03
vemurafenib,L01EC01
dabrafenib,L01EC02
crizotinib,L01ED01
trametinib,L01EE01
temsirolimus,L01EG01
everolimus,L01EG02
lapatinib,L01EH01
ruxolitinib,L01EJ01
axitinib,L01EK01
sunitinib,L01EX01
sorafenib,L01EX02
pazopanib,L01EX03
vandetanib,L01EX04
regorafenib,L01EX05
cabozantinib,L01EX07
oxaliplatin,L01XA03
procarbazine,L01XB01
bortezomib,L01XG01
carfilzomib,L01XG02
romidepsin,L01XH02
belinostat,L01XH04
vismodegib,L01XJ01
amsacrine,L01XX01
pentostatin,L01XX08
estramustine,L01XX11
mitotane,L01XX23
celecoxib,L01XX33
anagrelide,L01XX35
eribulin,L01XX41
tamoxifen,L02BA01
toremifene,L02BA02
flutamide,L02BB01
nilutamide,L02BB02
bicalutamide,L02BB03
anastrozole,L02BG03
letrozole,L02BG04
exemestane,L02BG06
degarelix,L02BX02
abiraterone,L02BX03
leflunomide,L04AA13
everolimus,L04AA18
tofacitinib,L04AA29
apremilast,L04AA32
cladribine,L04AA40
tacrolimus,L04AD02
azathioprine,L04AX01
thalidomide,L04AX02
methotrexate,L04AX03
lenalidomide,L04AX04
pomalidomide,L04AX06
sulindac,M01AB02
tolmetin,M01AB03
diclofenac,M01AB05
ketorolac,M01AB15
aceclofenac,M01AB16
piroxicam,M01AC01
tenoxicam,M01AC02
meloxicam,M01AC06
ibuprofen,M01AE01
naproxen,M01AE02
ketoprofen,M01AE03
fenoprofen,M01AE04
celecoxib,M01AH01
rofecoxib,M01AH02
valdecoxib,M01AH03
etoricoxib,M01AH05
nabumetone,M01AX01
auranofin,M01CB03
piroxicam,M02AA07
ketoprofen,M02AA10
naproxen,M02AA12
ibuprofen,M02AA13
diclofenac,M02AA15
tolmetin,M02AA21
aceclofenac,M02AA25
phenytoin,N03AB02
fosphenytoin,N03AB05
ethosuximide,N03AD01
clonazepam,N03AE01
carbamazepine,N03AF01
oxcarbazepine,N03AF02
rufinamide,N03AF03
eslicarbazepine,N03AF04
valproic acid,N03AG01
vigabatrin,N03AG04
tiagabine,N03AG06
lamotrigine,N03AX09
felbamate,N03AX10
topiramate,N03AX11
gabapentin,N03AX12
levetiracetam,N03AX14
zonisamide,N03AX15
pregabalin,N03AX16
lacosamide,N03AX18
perampanel,N03AX22
acetaminophen,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
